2024-04-15 16:46:34 install procps:amd64 <none> 2:3.3.17-5
2024-04-15 16:46:34 status half-installed procps:amd64 2:3.3.17-5
2024-04-15 16:46:34 status unpacked procps:amd64 2:3.3.17-5
2024-04-15 16:46:34 install sensible-utils:all <none> 0.0.14
2024-04-15 16:46:34 status half-installed sensible-utils:all 0.0.14
2024-04-15 16:46:34 status unpacked sensible-utils:all 0.0.14
2024-04-15 16:46:34 install bzip2:amd64 <none> 1.0.8-4
2024-04-15 16:46:34 status half-installed bzip2:amd64 1.0.8-4
2024-04-15 16:46:34 status unpacked bzip2:amd64 1.0.8-4
2024-04-15 16:46:34 install openssl:amd64 <none> 1.1.1w-0+deb11u1
2024-04-15 16:46:34 status half-installed openssl:amd64 1.1.1w-0+deb11u1
2024-04-15 16:46:34 status unpacked openssl:amd64 1.1.1w-0+deb11u1
2024-04-15 16:46:34 install ca-certificates:all <none> 20210119
2024-04-15 16:46:34 status half-installed ca-certificates:all 20210119
2024-04-15 16:46:34 status unpacked ca-certificates:all 20210119
2024-04-15 16:46:34 install libmd0:amd64 <none> 1.0.3-3
2024-04-15 16:46:34 status half-installed libmd0:amd64 1.0.3-3
2024-04-15 16:46:34 status unpacked libmd0:amd64 1.0.3-3
2024-04-15 16:46:34 install libbsd0:amd64 <none> 0.11.3-1+deb11u1
2024-04-15 16:46:34 status half-installed libbsd0:amd64 0.11.3-1+deb11u1
2024-04-15 16:46:35 status unpacked libbsd0:amd64 0.11.3-1+deb11u1
2024-04-15 16:46:35 install libedit2:amd64 <none> 3.1-20191231-2+b1
2024-04-15 16:46:35 status half-installed libedit2:amd64 3.1-20191231-2+b1
2024-04-15 16:46:35 status unpacked libedit2:amd64 3.1-20191231-2+b1
2024-04-15 16:46:35 install libcbor0:amd64 <none> 0.5.0+dfsg-2
2024-04-15 16:46:35 status half-installed libcbor0:amd64 0.5.0+dfsg-2
2024-04-15 16:46:35 status unpacked libcbor0:amd64 0.5.0+dfsg-2
2024-04-15 16:46:35 install libfido2-1:amd64 <none> 1.6.0-2
2024-04-15 16:46:35 status half-installed libfido2-1:amd64 1.6.0-2
2024-04-15 16:46:35 status unpacked libfido2-1:amd64 1.6.0-2
2024-04-15 16:46:35 install openssh-client:amd64 <none> 1:8.4p1-5+deb11u3
2024-04-15 16:46:35 status half-installed openssh-client:amd64 1:8.4p1-5+deb11u3
